mir	disease	causality
hsa-mir-148a	Breast Neoplasms	1
hsa-mir-217	Myxoma	1
hsa-mir-378	Breast Neoplasms	1
hsa-mir-375	Diabetes Mellitus	1
hsa-mir-9	Stomach Neoplasms	1
hsa-mir-4262	Uterine Cervical Neoplasms	1
hsa-mir-144	Lymphoma, Large B-Cell, Diffuse	1
hsa-mir-152	Osteosarcoma	1
hsa-mir-34a	Non-alcoholic Fatty Liver Disease	1
hsa-mir-29a	Arthritis, Rheumatoid	1
hsa-mir-429	Urinary Bladder Neoplasms	1
hsa-mir-21	Lymphoma, Large B-Cell, Diffuse	1
hsa-mir-106b	Retinoblastoma	1
hsa-mir-126	Atherosclerosis	1
hsa-mir-34a	Laryngeal Neoplasms	1
hsa-mir-24	Atherosclerosis	1
hsa-mir-214	Kidney Neoplasms	1
hsa-mir-301a	Prostatic Neoplasms	1
hsa-mir-301a	Colorectal Neoplasms	1
hsa-let-7	Endometriosis	1
hsa-mir-148b	Melanoma	1
hsa-mir-18a	Triple Negative Breast Neoplasms	1
hsa-mir-376c	Uterine Cervical Neoplasms	1
hsa-mir-340	Thyroid Neoplasms	1
hsa-mir-24	Brain Ischemia	1
hsa-mir-140	Stomach Neoplasms	1
hsa-mir-26a	Non-alcoholic Fatty Liver Disease	1
hsa-mir-185	Idiopathic Pulmonary Fibrosis	1
hsa-mir-30a	Prostatic Neoplasms	1
hsa-mir-34a	Uterine Cervical Neoplasms	1
hsa-mir-132	Carcinoma, Hepatocellular	1
hsa-mir-101	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-34a	Breast Neoplasms	1
hsa-mir-216b	Glioma	1
hsa-mir-211	Thyroid Neoplasms	1
hsa-mir-124	Cardiovascular Diseases	1
hsa-mir-21	Osteoarthritis	1
hsa-mir-329	Urinary Bladder Neoplasms	1
hsa-mir-874	Ovarian Neoplasms	1
hsa-mir-205	Carcinoma, Hepatocellular	1
hsa-mir-519d	Colorectal Neoplasms	1
hsa-mir-1273g	Colorectal Neoplasms	1
hsa-mir-217	Urinary Bladder Neoplasms	1
hsa-mir-451	Osteoarthritis	1
hsa-mir-373	Testicular Neoplasms	1
hsa-mir-761	Stomach Neoplasms	1
hsa-let-7a-2	Melanoma	1
hsa-mir-370	Osteoarthritis	1
hsa-mir-106b	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-137	Cicatrix, Hypertrophic	1
hsa-mir-23b	Wound Healing	1
hsa-mir-221	Glioma	1
hsa-mir-17	Glioblastoma	1
hsa-mir-1-1	Rhabdomyosarcoma	1
hsa-mir-17	Inflammation	1
hsa-mir-18a	Neuroblastoma	1
hsa-mir-183	Uterine Cervical Neoplasms	1
hsa-mir-148a	Cholangiocarcinoma	1
hsa-mir-17	Pulmonary Embolism	1
hsa-mir-129	Glioma	1
hsa-mir-128	Alzheimer Disease	1
hsa-mir-17	Leukemia, Myeloid, Acute	1
hsa-mir-19b-1	Leukemia	1
hsa-mir-182	Lung Neoplasms	1
hsa-mir-302b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-326	Carcinoma, Hepatocellular	1
hsa-mir-22	Neoplasms	1
hsa-mir-10a	Atherosclerosis	1
hsa-mir-628	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-221	Glioblastoma	1
hsa-mir-144	Myocardial Ischemia	1
hsa-mir-451	Myocardial Ischemia	1
hsa-mir-381	Mastocytosis, Systemic	1
hsa-mir-101-1	Carcinoma, Renal Cell	1
hsa-mir-1-2	Urinary Bladder Neoplasms	1
hsa-mir-106b	Gastrointestinal Neoplasms	1
hsa-mir-20a	Gallbladder Neoplasms	1
hsa-let-7a-1	Gastrointestinal Neoplasms	1
hsa-mir-10b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-204	Stomach Neoplasms	1
hsa-mir-197	Carcinoma, Hepatocellular	1
hsa-mir-429	Osteosarcoma	1
hsa-mir-146a	Lymphoma	1
hsa-mir-135a	Diabetic Nephropathies	1
hsa-let-7g	Inflammation	1
hsa-mir-30	Ischemia	1
hsa-mir-433	Carcinoma, Hepatocellular	1
hsa-mir-378	Rhabdomyosarcoma	1
hsa-mir-187	Ovarian Neoplasms	1
hsa-mir-200b	Graft vs Host Disease	1
hsa-mir-7-3	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-133a-2	Hypertension	1
hsa-mir-335	Stomach Neoplasms	1
hsa-mir-181d	Glioblastoma	1
hsa-mir-23a	Carcinoma, Pancreatic Ductal	1
hsa-mir-423	Carcinoma, Hepatocellular	1
hsa-mir-26b	Lung Neoplasms	1
hsa-mir-18a	Immune System Diseases	1
hsa-mir-17	Liver Cirrhosis	1
hsa-let-7a-2	Endometrial Neoplasms	1
hsa-mir-148b	Colorectal Neoplasms	1
hsa-mir-194-2	Colorectal Neoplasms	1
hsa-mir-520d	Breast Neoplasms	1
hsa-mir-367	Neurodegenerative Diseases	1
hsa-mir-320c-1	Breast Neoplasms	1
hsa-mir-221	Hypertrophy	1
hsa-mir-184	Ovarian Neoplasms	1
hsa-mir-23a	Leukemia, Erythroblastic, Acute	1
hsa-mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-let-7b	Reperfusion Injury	1
hsa-mir-32	Glioblastoma	1
hsa-mir-128-2	Glioma	1
hsa-mir-205	Thyroid Carcinoma, Anaplastic	1
hsa-mir-26a-1	Lung Neoplasms	1
hsa-mir-155	Epilepsy, Temporal Lobe	1
hsa-mir-107	Myocardial Infarction	1
hsa-mir-22	Lung Neoplasms	1
hsa-mir-1908	Osteosarcoma	1
hsa-mir-200c	Rectal Neoplasms	1
hsa-mir-17	Lymphoma, B-Cell	1
hsa-mir-18	Lymphoma, B-Cell	1
hsa-mir-424	Myocardial Infarction	1
hsa-mir-381	Lung Neoplasms	1
hsa-mir-26a	Heart Diseases	1
hsa-mir-223	Pancreatic Neoplasms	1
hsa-mir-25	Prostatic Neoplasms	1
hsa-mir-590	Carcinoma, Hepatocellular	1
hsa-mir-497	Colorectal Neoplasms	1
hsa-mir-203	Breast Neoplasms	1
hsa-mir-9-2	Breast Neoplasms	1
hsa-mir-21	Liver Neoplasms	1
hsa-mir-31	Prostatic Neoplasms	1
hsa-mir-20b	Breast Neoplasms	1
hsa-mir-198	Pancreatic Neoplasms	1
hsa-mir-183	Neoplasms	1
hsa-mir-340	Colorectal Neoplasms	1
hsa-mir-19a	Pancreatic Neoplasms	1
hsa-mir-124-1	Prostatic Neoplasms	1
hsa-mir-1297	Lung Neoplasms	1
hsa-mir-144	Nasopharyngeal Neoplasms	1
hsa-mir-7-3	Colorectal Neoplasms	1
hsa-mir-98	Neoplasms	1
hsa-mir-195	Glioma	1
hsa-mir-24-2	Neoplasms	1
hsa-mir-486	Lung Neoplasms	1
hsa-mir-218-1	Uterine Cervical Neoplasms	1
hsa-mir-24-2	Osteosarcoma	1
hsa-mir-135b	Breast Neoplasms	1
hsa-mir-497	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-335	Ovarian Neoplasms	1
hsa-mir-218-2	Thyroid Neoplasms	1
hsa-mir-7-2	Urinary Bladder Neoplasms	1
hsa-mir-26a-2	Breast Neoplasms	1
hsa-mir-199a-1	Arbovirus Infections	1
hsa-mir-212	Stomach Neoplasms	1
hsa-mir-22	Myelodysplastic Syndromes	1
hsa-mir-23b	Urinary Bladder Neoplasms	1
hsa-mir-149	Myocardial Infarction	1
hsa-mir-93	Lung Neoplasms	1
hsa-mir-187	Diabetes Mellitus, Type 2	1
hsa-mir-301a	Breast Neoplasms	1
hsa-mir-339	Alzheimer Disease	1
hsa-mir-224	Prostatic Neoplasms	1
hsa-mir-96	Lung Neoplasms	1
hsa-mir-503	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-184	Carcinoma, Hepatocellular	1
hsa-mir-625	Carcinoma, Hepatocellular	1
hsa-mir-942	Hepatitis C	1
hsa-mir-34a	Cardiomyopathy, Hypertrophic	1
hsa-mir-330	Glioblastoma	1
hsa-mir-224	Colorectal Neoplasms	1
hsa-mir-29	Prostatic Neoplasms	1
hsa-mir-135a	Gallbladder Neoplasms	1
hsa-mir-196a	Stomach Neoplasms	1
hsa-mir-103	Stroke	1
hsa-mir-1	Osteosarcoma	1
hsa-mir-421	Neuroblastoma	1
hsa-mir-200a	Liver Cirrhosis	1
hsa-mir-33b	Atherosclerosis	1
hsa-mir-153	Lung Neoplasms	1
hsa-mir-18a	Breast Neoplasms	1
hsa-let-7	Carcinoma, Adenoid Cystic	1
hsa-mir-183	Carcinoma, Pancreatic Ductal	1
hsa-mir-181b-1	Stomach Neoplasms	1
hsa-mir-19b-1	Cholangiocarcinoma	1
hsa-mir-92-1	Cholangiocarcinoma	1
hsa-mir-140	Esophageal Neoplasms	1
hsa-mir-100	Pancreatic Neoplasms	1
hsa-mir-124a	Diabetes Mellitus, Type 2	1
hsa-mir-466	Adenoviridae Infections	1
hsa-mir-486	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-15a	Retinoblastoma	1
hsa-mir-200a	Thyroid Carcinoma, Anaplastic	1
hsa-mir-210	Laryngeal Neoplasms	1
hsa-mir-449a	Osteosarcoma	1
